dcterms:title,schema:artform,dcterms:alternative,crm:P1_is_identified_by,crm:P54_has_current_permanent_location,schema:geo,dcterms:temporal,crm:P4_has_time-span,crm:P7_took_place_at,schema:locationCreated,schema:geographicArea,schema:creator,schema:contributor,crm:P15_was_influenced_by,dcterms:abstract,crm:P72_has_language,dcterms:subject,schema:itemCondition,schema:observationDate,crm:P31i_was_modified_by,schema:dateModified,restoration_date_string,dcterms:isPartOf,dcterms:hasPart,crm:P59_has_section,schema:artworkSurface,dcterms:isReferencedBy,dcterms:source,dcterms:identifier,dcterms:creator,dcterms:created,dcterms:modified,dcterms:references,dcterms:accessRights,crm:P138i_has_representation,dcterms:image
Saint George,peinture,,28129,Benaki Museum Athens,,2e quart du 15e siècle,1426§1450,,Crète,"35.15585,24.89502","Akotantos, Angelos§Cretan School",,,,,saint Georges,,,,,,,,,86673196-5191-416f-95f1-c3a8cd7dc12d_001§86673196-5191-416f-95f1-c3a8cd7dc12d_002§86673196-5191-416f-95f1-c3a8cd7dc12d_003§86673196-5191-416f-95f1-c3a8cd7dc12d_004§86673196-5191-416f-95f1-c3a8cd7dc12d_005§86673196-5191-416f-95f1-c3a8cd7dc12d_006§86673196-5191-416f-95f1-c3a8cd7dc12d_007§86673196-5191-416f-95f1-c3a8cd7dc12d_008§86673196-5191-416f-95f1-c3a8cd7dc12d_009§86673196-5191-416f-95f1-c3a8cd7dc12d_010§86673196-5191-416f-95f1-c3a8cd7dc12d_011§86673196-5191-416f-95f1-c3a8cd7dc12d_012§86673196-5191-416f-95f1-c3a8cd7dc12d_013§86673196-5191-416f-95f1-c3a8cd7dc12d_014§86673196-5191-416f-95f1-c3a8cd7dc12d_015§86673196-5191-416f-95f1-c3a8cd7dc12d_016§86673196-5191-416f-95f1-c3a8cd7dc12d_017§86673196-5191-416f-95f1-c3a8cd7dc12d_018§86673196-5191-416f-95f1-c3a8cd7dc12d_019§86673196-5191-416f-95f1-c3a8cd7dc12d_020§86673196-5191-416f-95f1-c3a8cd7dc12d_021§86673196-5191-416f-95f1-c3a8cd7dc12d_022§86673196-5191-416f-95f1-c3a8cd7dc12d_023§86673196-5191-416f-95f1-c3a8cd7dc12d_024§86673196-5191-416f-95f1-c3a8cd7dc12d_029,"Akotantos, Angelos 1ère moitié du 15e siècle - , peint par, Saint George, peinture (2e quart du 15e siècle - )",https://agorha.inha.fr/ark:/54721/86673196-5191-416f-95f1-c3a8cd7dc12d,86673196-5191-416f-95f1-c3a8cd7dc12d,Marina Dimaki,10/06/2022,15/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/86673196-5191-416f-95f1-c3a8cd7dc12d,https://agorha.inha.fr/ark:/54721/11d420a2-9c14-468c-af13-9cca51d6fad7/doc/9d55f9c4-f9fb-4ed4-8778-25f980cee8b0/original.jpg
Panneau de saint Jérôme - détail du Polyptyque,peinture,,M.I.421,Musée du Petit Palais Avignon,"43.949317,4.805528",14e siècle - 14e siècle,1301§1400,,,,Zanino di Pietro,,,Restauré en 1972 - 1975,,,,,,,,,,3014caf5-58d6-40e7-a81e-42ff0c8b3914_001§3014caf5-58d6-40e7-a81e-42ff0c8b3914_002§3014caf5-58d6-40e7-a81e-42ff0c8b3914_003§3014caf5-58d6-40e7-a81e-42ff0c8b3914_004§3014caf5-58d6-40e7-a81e-42ff0c8b3914_005§3014caf5-58d6-40e7-a81e-42ff0c8b3914_006§3014caf5-58d6-40e7-a81e-42ff0c8b3914_007§3014caf5-58d6-40e7-a81e-42ff0c8b3914_008§3014caf5-58d6-40e7-a81e-42ff0c8b3914_009§3014caf5-58d6-40e7-a81e-42ff0c8b3914_010§3014caf5-58d6-40e7-a81e-42ff0c8b3914_011§3014caf5-58d6-40e7-a81e-42ff0c8b3914_012§3014caf5-58d6-40e7-a81e-42ff0c8b3914_013§3014caf5-58d6-40e7-a81e-42ff0c8b3914_014§3014caf5-58d6-40e7-a81e-42ff0c8b3914_015§3014caf5-58d6-40e7-a81e-42ff0c8b3914_016§3014caf5-58d6-40e7-a81e-42ff0c8b3914_017§3014caf5-58d6-40e7-a81e-42ff0c8b3914_018§3014caf5-58d6-40e7-a81e-42ff0c8b3914_019§3014caf5-58d6-40e7-a81e-42ff0c8b3914_020§3014caf5-58d6-40e7-a81e-42ff0c8b3914_021,,"Zanino di Pietro , de, Panneau de saint Jérôme - détail du Polyptyque, peinture (14e siècle)§Ministère de la Culture, Paris",https://agorha.inha.fr/ark:/54721/3014caf5-58d6-40e7-a81e-42ff0c8b3914§https://www.pop.culture.gouv.fr/notice/joconde/000PE012726,3014caf5-58d6-40e7-a81e-42ff0c8b3914,Léa Checri (pour le bloc matérialité),04/10/2022,15/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/3014caf5-58d6-40e7-a81e-42ff0c8b3914,https://agorha.inha.fr/ark:/54721/b4bad381-75ad-41e4-9cc4-e9bc4c5c8b5d/doc/f7346aa8-2dd2-4eef-aedc-51fd3dc2ce3c/original.jpg
Panneau de la Crucifixion - détail du Polyptyque,peinture,,M.I.421,Musée du Petit Palais Avignon,"43.949317,4.805528",14e siècle - 14e siècle,1301§1400,,,,Zanino di Pietro,,,Restauré en 1972 - 1975,,,,,,,,,,176515dc-ccab-456e-94db-dcd18a516dd9_001§176515dc-ccab-456e-94db-dcd18a516dd9_002§176515dc-ccab-456e-94db-dcd18a516dd9_003§176515dc-ccab-456e-94db-dcd18a516dd9_004§176515dc-ccab-456e-94db-dcd18a516dd9_005§176515dc-ccab-456e-94db-dcd18a516dd9_006§176515dc-ccab-456e-94db-dcd18a516dd9_007§176515dc-ccab-456e-94db-dcd18a516dd9_008§176515dc-ccab-456e-94db-dcd18a516dd9_009§176515dc-ccab-456e-94db-dcd18a516dd9_010§176515dc-ccab-456e-94db-dcd18a516dd9_011§176515dc-ccab-456e-94db-dcd18a516dd9_012§176515dc-ccab-456e-94db-dcd18a516dd9_013§176515dc-ccab-456e-94db-dcd18a516dd9_014§176515dc-ccab-456e-94db-dcd18a516dd9_015§176515dc-ccab-456e-94db-dcd18a516dd9_016§176515dc-ccab-456e-94db-dcd18a516dd9_017§176515dc-ccab-456e-94db-dcd18a516dd9_018§176515dc-ccab-456e-94db-dcd18a516dd9_019§176515dc-ccab-456e-94db-dcd18a516dd9_020§176515dc-ccab-456e-94db-dcd18a516dd9_021§176515dc-ccab-456e-94db-dcd18a516dd9_022§176515dc-ccab-456e-94db-dcd18a516dd9_023§176515dc-ccab-456e-94db-dcd18a516dd9_024§176515dc-ccab-456e-94db-dcd18a516dd9_025§176515dc-ccab-456e-94db-dcd18a516dd9_026§176515dc-ccab-456e-94db-dcd18a516dd9_027§176515dc-ccab-456e-94db-dcd18a516dd9_028§176515dc-ccab-456e-94db-dcd18a516dd9_029§176515dc-ccab-456e-94db-dcd18a516dd9_030§176515dc-ccab-456e-94db-dcd18a516dd9_031§176515dc-ccab-456e-94db-dcd18a516dd9_032§176515dc-ccab-456e-94db-dcd18a516dd9_033§176515dc-ccab-456e-94db-dcd18a516dd9_034§176515dc-ccab-456e-94db-dcd18a516dd9_035§176515dc-ccab-456e-94db-dcd18a516dd9_036§176515dc-ccab-456e-94db-dcd18a516dd9_037§176515dc-ccab-456e-94db-dcd18a516dd9_038§176515dc-ccab-456e-94db-dcd18a516dd9_039§176515dc-ccab-456e-94db-dcd18a516dd9_040§176515dc-ccab-456e-94db-dcd18a516dd9_041§176515dc-ccab-456e-94db-dcd18a516dd9_042§176515dc-ccab-456e-94db-dcd18a516dd9_043§176515dc-ccab-456e-94db-dcd18a516dd9_044,,"Zanino di Pietro , de, Panneau de la Crucifixion - détail du Polyptyque, peinture (14e siècle)§Ministère de la Culture, Paris",https://agorha.inha.fr/ark:/54721/176515dc-ccab-456e-94db-dcd18a516dd9§https://www.pop.culture.gouv.fr/notice/joconde/000PE012726,176515dc-ccab-456e-94db-dcd18a516dd9,Léa Checri (pour le bloc matérialité),04/10/2022,15/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/176515dc-ccab-456e-94db-dcd18a516dd9,https://agorha.inha.fr/ark:/54721/b4bad381-75ad-41e4-9cc4-e9bc4c5c8b5d/doc/f7346aa8-2dd2-4eef-aedc-51fd3dc2ce3c/original.jpg
Devant d'autel : Scènes de la vie de la Vierge,retable§peinture,,CL. 7726,"Musée de Cluny, Musée national du Moyen Âge Paris","48.85043,2.34374",1330-1340,1325§1345,,Angleterre de l'Est,"52.24,0.41",,,,,,,,,,,,,,19ce3cc9-fa17-4409-9580-d0cf84a26105_004§19ce3cc9-fa17-4409-9580-d0cf84a26105_005§19ce3cc9-fa17-4409-9580-d0cf84a26105_006§19ce3cc9-fa17-4409-9580-d0cf84a26105_007§19ce3cc9-fa17-4409-9580-d0cf84a26105_008,19ce3cc9-fa17-4409-9580-d0cf84a26105_001§19ce3cc9-fa17-4409-9580-d0cf84a26105_002§19ce3cc9-fa17-4409-9580-d0cf84a26105_003,"Devant d'autel : Scènes de la vie de la Vierge, retable (Vers 1330 / 1340 - )",https://agorha.inha.fr/ark:/54721/19ce3cc9-fa17-4409-9580-d0cf84a26105,19ce3cc9-fa17-4409-9580-d0cf84a26105, Philomène Renard ,21/07/2023,09/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),,
La Crucifixion,peinture,,RF 1988-6,Département des peintures du musée du Louvre Paris,"48.860591,2.337582",1475-1525,1470§1530,,,,,,,,,,,,,1989§1992,,,,,c64da788-ac1b-4a9b-bf98-c201758c9a09_002§c64da788-ac1b-4a9b-bf98-c201758c9a09_003§c64da788-ac1b-4a9b-bf98-c201758c9a09_004§c64da788-ac1b-4a9b-bf98-c201758c9a09_005§c64da788-ac1b-4a9b-bf98-c201758c9a09_006§c64da788-ac1b-4a9b-bf98-c201758c9a09_007§c64da788-ac1b-4a9b-bf98-c201758c9a09_008§c64da788-ac1b-4a9b-bf98-c201758c9a09_009§c64da788-ac1b-4a9b-bf98-c201758c9a09_010§c64da788-ac1b-4a9b-bf98-c201758c9a09_011§c64da788-ac1b-4a9b-bf98-c201758c9a09_012§c64da788-ac1b-4a9b-bf98-c201758c9a09_013§c64da788-ac1b-4a9b-bf98-c201758c9a09_014§c64da788-ac1b-4a9b-bf98-c201758c9a09_015§c64da788-ac1b-4a9b-bf98-c201758c9a09_016§c64da788-ac1b-4a9b-bf98-c201758c9a09_017§c64da788-ac1b-4a9b-bf98-c201758c9a09_018§c64da788-ac1b-4a9b-bf98-c201758c9a09_019§c64da788-ac1b-4a9b-bf98-c201758c9a09_020,"La Crucifixion, peinture (Vers 1475 / 1525 - )",https://agorha.inha.fr/ark:/54721/c64da788-ac1b-4a9b-bf98-c201758c9a09,c64da788-ac1b-4a9b-bf98-c201758c9a09,prenard,26/10/2022,25/10/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/c64da788-ac1b-4a9b-bf98-c201758c9a09,https://agorha.inha.fr/ark:/54721/27c9fc9e-5c9b-4da1-b5f1-76de435a4b7c/doc/67a6d686-8e68-4793-9974-42b9a1ad31e1/original.jpg
polyptyque : Sainte Catherine,peinture,,DS 1670,Musée du Petit Palais Avignon,"43.949317,4.805528",4e quart du 14e siècle,1376§1400,,,,Turino di Vanni,,,,,,,,,,,,,,9e93acb8-67b6-4838-87ff-3333b2d5e84f_001§9e93acb8-67b6-4838-87ff-3333b2d5e84f_002§9e93acb8-67b6-4838-87ff-3333b2d5e84f_003§9e93acb8-67b6-4838-87ff-3333b2d5e84f_004§9e93acb8-67b6-4838-87ff-3333b2d5e84f_005§9e93acb8-67b6-4838-87ff-3333b2d5e84f_006§9e93acb8-67b6-4838-87ff-3333b2d5e84f_007§9e93acb8-67b6-4838-87ff-3333b2d5e84f_008§9e93acb8-67b6-4838-87ff-3333b2d5e84f_009§9e93acb8-67b6-4838-87ff-3333b2d5e84f_010,"Turino di Vanni 1348 - 1438, de, polyptyque : Sainte Catherine, peinture (4e quart du 14e siècle - )",https://agorha.inha.fr/ark:/54721/9e93acb8-67b6-4838-87ff-3333b2d5e84f,9e93acb8-67b6-4838-87ff-3333b2d5e84f, Philomène Renard ,01/02/2023,08/02/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/9e93acb8-67b6-4838-87ff-3333b2d5e84f,http://agorha.inha.fr/ark:/54721/fb223798-de4e-46e2-93ba-2035f4d00695/doc/22b61d80-bc54-4a19-862a-0077439bc437/original.jpg
Saint Dominique,peinture,,,Musée du Petit Palais Avignon,"43.949317,4.805528",1ère moitié du 15e siècle,1401§1450,,,,,,,,,,,,,,,https://agorha.inha.fr/ark:/54721/5eee4390-b14c-4237-9654-ee40910f05ea,,5d32eb67-7b93-4482-bfed-dfe8e1895d90_005§5d32eb67-7b93-4482-bfed-dfe8e1895d90_006§5d32eb67-7b93-4482-bfed-dfe8e1895d90_007§5d32eb67-7b93-4482-bfed-dfe8e1895d90_008§5d32eb67-7b93-4482-bfed-dfe8e1895d90_009§5d32eb67-7b93-4482-bfed-dfe8e1895d90_010,5d32eb67-7b93-4482-bfed-dfe8e1895d90_001§5d32eb67-7b93-4482-bfed-dfe8e1895d90_002§5d32eb67-7b93-4482-bfed-dfe8e1895d90_003§5d32eb67-7b93-4482-bfed-dfe8e1895d90_004,"Anonyme des Marches (peintre) - 15e siècle 15e siècle - , Saint Dominique, peinture (1ère moitié du 15e siècle - )",https://agorha.inha.fr/ark:/54721/5d32eb67-7b93-4482-bfed-dfe8e1895d90,5d32eb67-7b93-4482-bfed-dfe8e1895d90, Philomène Renard ,27/06/2023,15/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/5d32eb67-7b93-4482-bfed-dfe8e1895d90,https://agorha.inha.fr/ark:/54721/25e51c66-c8e9-47d8-af12-b12041f328f9/doc/c61e56ff-6df1-472e-a920-5863b8824ce4/original.jpg
Scènes de la mort de la Vierge,peinture,,INV.MS. P 4731,Musée Marmottan Monet Paris,"48.859261,2.267227",4e quart du 13e siècle - 1er quart du 14e siècle,1276§1325,,,,Maestro di Cesi,,,,,,,,,,,,,bf0fa8fc-0cd3-46eb-8386-44a423d0f202_002§bf0fa8fc-0cd3-46eb-8386-44a423d0f202_003§bf0fa8fc-0cd3-46eb-8386-44a423d0f202_004§bf0fa8fc-0cd3-46eb-8386-44a423d0f202_005§bf0fa8fc-0cd3-46eb-8386-44a423d0f202_006§bf0fa8fc-0cd3-46eb-8386-44a423d0f202_007§bf0fa8fc-0cd3-46eb-8386-44a423d0f202_008§bf0fa8fc-0cd3-46eb-8386-44a423d0f202_009§bf0fa8fc-0cd3-46eb-8386-44a423d0f202_010§bf0fa8fc-0cd3-46eb-8386-44a423d0f202_011§bf0fa8fc-0cd3-46eb-8386-44a423d0f202_012§bf0fa8fc-0cd3-46eb-8386-44a423d0f202_013§bf0fa8fc-0cd3-46eb-8386-44a423d0f202_014§bf0fa8fc-0cd3-46eb-8386-44a423d0f202_015,bf0fa8fc-0cd3-46eb-8386-44a423d0f202_001,"Maestro di Cesi , de, Scènes de la mort de la Vierge, peinture (4e quart du 13e siècle - 1er quart du 14e siècle)",https://agorha.inha.fr/ark:/54721/bf0fa8fc-0cd3-46eb-8386-44a423d0f202,bf0fa8fc-0cd3-46eb-8386-44a423d0f202, Philomène Renard ,20/07/2023,15/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),,
Saint Pierre,peinture,,INV.MS. P 4731,Musée Marmottan Monet Paris,"48.859261,2.267227",4e quart du 13e siècle - 1er quart du 14e siècle,1276§1325,,,,Maestro di Cesi,,,,,,,,,,,,,7a858c2a-a464-471f-8f62-c3ce4651b66d_002§7a858c2a-a464-471f-8f62-c3ce4651b66d_003§7a858c2a-a464-471f-8f62-c3ce4651b66d_004§7a858c2a-a464-471f-8f62-c3ce4651b66d_005,7a858c2a-a464-471f-8f62-c3ce4651b66d_001,"Maestro di Cesi , de, Saint Pierre, peinture (4e quart du 13e siècle - 1er quart du 14e siècle)",https://agorha.inha.fr/ark:/54721/7a858c2a-a464-471f-8f62-c3ce4651b66d,7a858c2a-a464-471f-8f62-c3ce4651b66d, Philomène Renard ,20/07/2023,15/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),,
Saint Bernard,peinture,,INV.MS. P 4731,Musée Marmottan Monet Paris,"48.859261,2.267227",4e quart du 13e siècle - 1er quart du 14e siècle,1276§1325,,,,Maestro di Cesi,,,,,,,,,,,,,5360ebb9-3a8b-4974-9db0-ca1cd6452f58_002§5360ebb9-3a8b-4974-9db0-ca1cd6452f58_003§5360ebb9-3a8b-4974-9db0-ca1cd6452f58_004§5360ebb9-3a8b-4974-9db0-ca1cd6452f58_005,5360ebb9-3a8b-4974-9db0-ca1cd6452f58_001,"Maestro di Cesi , de, Saint Bernard, peinture (4e quart du 13e siècle - 1er quart du 14e siècle)",https://agorha.inha.fr/ark:/54721/5360ebb9-3a8b-4974-9db0-ca1cd6452f58,5360ebb9-3a8b-4974-9db0-ca1cd6452f58, Philomène Renard ,20/07/2023,15/11/2023,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),,
Saint George,peinture,,BXM 01355,Musée byzantin et chrétien Athènes§Musée byzantin et chrétien Athènes,"37.97592576360662,23.744585284660356§37.97592576360662,23.744585284660356",1ère moitié du 14e siècle,1301§1350,,Asie mineure§Tyana Cappadocia,"39.5954286631,30.7881662756",,,,"Heirloom brought by Greek refugees of Asia Minor, probably from Tyana in Cappadocia &lt;this and the above might need to be transfered to the decouvertes box, because it comes from there but I don't know for sure that was painted there&gt;",,saint Georges,,,,,,,,bbecad2c-db27-4e7f-9702-682c20a1b8d4_002§bbecad2c-db27-4e7f-9702-682c20a1b8d4_003§bbecad2c-db27-4e7f-9702-682c20a1b8d4_004§bbecad2c-db27-4e7f-9702-682c20a1b8d4_005§bbecad2c-db27-4e7f-9702-682c20a1b8d4_006§bbecad2c-db27-4e7f-9702-682c20a1b8d4_007§bbecad2c-db27-4e7f-9702-682c20a1b8d4_008§bbecad2c-db27-4e7f-9702-682c20a1b8d4_009§bbecad2c-db27-4e7f-9702-682c20a1b8d4_010§bbecad2c-db27-4e7f-9702-682c20a1b8d4_011,bbecad2c-db27-4e7f-9702-682c20a1b8d4_001,"Saint George, peinture (1ère moitié du 14e siècle - )",https://agorha.inha.fr/ark:/54721/bbecad2c-db27-4e7f-9702-682c20a1b8d4,bbecad2c-db27-4e7f-9702-682c20a1b8d4,smirabau,04/05/2022,25/03/2024,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/bbecad2c-db27-4e7f-9702-682c20a1b8d4,https://agorha.inha.fr/ark:/54721/e1c0fdfd-59d2-4c81-b478-65bca1c780f6/doc/7fbacb27-5cb7-41f0-b8b8-09223f96feb8/original.jpg
Saint Nicolas et scènes de sa vie,peinture,,FMVIC01,Corfou§collection privée,"39.62441,19.92016",1ère moitié du 15e siècle§2e moitié du 16e siècle,1401§1450§1551§1600,Saint Nicholas alone was painted by Angelos during 1st half of 15th century§The scenes of Saint Nicholas's life were added during the 2nd half of 16th century,Crète,"35.15585,24.89502","Akotantos, Angelos§Cretan School§Damaskinos, Michael§Cretan School",,,,,,,,,,,,,45eab8fb-5fb8-499f-a208-20b5f0ed1546_002§45eab8fb-5fb8-499f-a208-20b5f0ed1546_003§45eab8fb-5fb8-499f-a208-20b5f0ed1546_004§45eab8fb-5fb8-499f-a208-20b5f0ed1546_005§45eab8fb-5fb8-499f-a208-20b5f0ed1546_006§45eab8fb-5fb8-499f-a208-20b5f0ed1546_007§45eab8fb-5fb8-499f-a208-20b5f0ed1546_008§45eab8fb-5fb8-499f-a208-20b5f0ed1546_009§45eab8fb-5fb8-499f-a208-20b5f0ed1546_010§45eab8fb-5fb8-499f-a208-20b5f0ed1546_011§45eab8fb-5fb8-499f-a208-20b5f0ed1546_012§45eab8fb-5fb8-499f-a208-20b5f0ed1546_013§45eab8fb-5fb8-499f-a208-20b5f0ed1546_014§45eab8fb-5fb8-499f-a208-20b5f0ed1546_015§45eab8fb-5fb8-499f-a208-20b5f0ed1546_016§45eab8fb-5fb8-499f-a208-20b5f0ed1546_017§45eab8fb-5fb8-499f-a208-20b5f0ed1546_018§45eab8fb-5fb8-499f-a208-20b5f0ed1546_019§45eab8fb-5fb8-499f-a208-20b5f0ed1546_020§45eab8fb-5fb8-499f-a208-20b5f0ed1546_021§45eab8fb-5fb8-499f-a208-20b5f0ed1546_022§45eab8fb-5fb8-499f-a208-20b5f0ed1546_023§45eab8fb-5fb8-499f-a208-20b5f0ed1546_024§45eab8fb-5fb8-499f-a208-20b5f0ed1546_025§45eab8fb-5fb8-499f-a208-20b5f0ed1546_026§45eab8fb-5fb8-499f-a208-20b5f0ed1546_027§45eab8fb-5fb8-499f-a208-20b5f0ed1546_029§45eab8fb-5fb8-499f-a208-20b5f0ed1546_030§45eab8fb-5fb8-499f-a208-20b5f0ed1546_031§45eab8fb-5fb8-499f-a208-20b5f0ed1546_032§45eab8fb-5fb8-499f-a208-20b5f0ed1546_033§45eab8fb-5fb8-499f-a208-20b5f0ed1546_034§45eab8fb-5fb8-499f-a208-20b5f0ed1546_035§45eab8fb-5fb8-499f-a208-20b5f0ed1546_036§45eab8fb-5fb8-499f-a208-20b5f0ed1546_037§45eab8fb-5fb8-499f-a208-20b5f0ed1546_038§45eab8fb-5fb8-499f-a208-20b5f0ed1546_039§45eab8fb-5fb8-499f-a208-20b5f0ed1546_050§45eab8fb-5fb8-499f-a208-20b5f0ed1546_051§45eab8fb-5fb8-499f-a208-20b5f0ed1546_052§45eab8fb-5fb8-499f-a208-20b5f0ed1546_053§45eab8fb-5fb8-499f-a208-20b5f0ed1546_054§45eab8fb-5fb8-499f-a208-20b5f0ed1546_055,45eab8fb-5fb8-499f-a208-20b5f0ed1546_001§45eab8fb-5fb8-499f-a208-20b5f0ed1546_028§45eab8fb-5fb8-499f-a208-20b5f0ed1546_040§45eab8fb-5fb8-499f-a208-20b5f0ed1546_041§45eab8fb-5fb8-499f-a208-20b5f0ed1546_042§45eab8fb-5fb8-499f-a208-20b5f0ed1546_043§45eab8fb-5fb8-499f-a208-20b5f0ed1546_044§45eab8fb-5fb8-499f-a208-20b5f0ed1546_045§45eab8fb-5fb8-499f-a208-20b5f0ed1546_046§45eab8fb-5fb8-499f-a208-20b5f0ed1546_047§45eab8fb-5fb8-499f-a208-20b5f0ed1546_048§45eab8fb-5fb8-499f-a208-20b5f0ed1546_049,"Akotantos, Angelos 1ère moitié du 15e siècle - , peint par, Saint Nicolas et scènes de sa vie, peinture (1ère moitié du 15e siècle - )",https://agorha.inha.fr/ark:/54721/45eab8fb-5fb8-499f-a208-20b5f0ed1546,45eab8fb-5fb8-499f-a208-20b5f0ed1546,Marina Dimaki,02/06/2022,04/04/2024,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/45eab8fb-5fb8-499f-a208-20b5f0ed1546,https://agorha.inha.fr/ark:/54721/9ada3ea1-c943-47a1-97b8-896c0998f1e1/doc/abb52cf4-a522-4e82-a9b5-d640df4e19c0/original.jpg
Saint George,peinture,,BXM 01355,Musée byzantin et chrétien Athènes§Musée byzantin et chrétien Athènes,"37.97592576360662,23.744585284660356§37.97592576360662,23.744585284660356",1ère moitié du 14e siècle,1301§1350,,Asie mineure§Tyana Cappadocia,"39.5954286631,30.7881662756",,,,"Heirloom brought by Greek refugees of Asia Minor, probably from Tyana in Cappadocia &lt;this and the above might need to be transfered to the decouvertes box, because it comes from there but I don't know for sure that was painted there&gt;",,saint Georges,,,,,,,,,676ad7ed-ca60-4202-a5f3-13ab8fdd82da_001§676ad7ed-ca60-4202-a5f3-13ab8fdd82da_002§676ad7ed-ca60-4202-a5f3-13ab8fdd82da_003§676ad7ed-ca60-4202-a5f3-13ab8fdd82da_004§676ad7ed-ca60-4202-a5f3-13ab8fdd82da_005§676ad7ed-ca60-4202-a5f3-13ab8fdd82da_006§676ad7ed-ca60-4202-a5f3-13ab8fdd82da_007§676ad7ed-ca60-4202-a5f3-13ab8fdd82da_008§676ad7ed-ca60-4202-a5f3-13ab8fdd82da_009§676ad7ed-ca60-4202-a5f3-13ab8fdd82da_010§676ad7ed-ca60-4202-a5f3-13ab8fdd82da_011,"Saint George, peinture (1ère moitié du 14e siècle - )",http://agorha.inha.fr/ark:/54721/676ad7ed-ca60-4202-a5f3-13ab8fdd82da,676ad7ed-ca60-4202-a5f3-13ab8fdd82da,smirabau,04/05/2022,29/09/2022,La fabrique matérielle du visuel. Panneaux peints en Méditerranée XIIIe-XVIe siècles,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France - licence : Attribution 4.0 International (CC BY 4.0),https://agorha.inha.fr/iiif/presentation/v2/676ad7ed-ca60-4202-a5f3-13ab8fdd82da,http://agorha.inha.fr/ark:/54721/e1c0fdfd-59d2-4c81-b478-65bca1c780f6/doc/7fbacb27-5cb7-41f0-b8b8-09223f96feb8/original.jpg
